,index,time,cells,carrier,Exp,rep,compound,state,relative_label,sample
58,130,120,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.579894527199834,1
59,131,120,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.598611317605293,1
60,132,120,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.401388682394707,1
61,137,120,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.461933405330392,2
62,138,120,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.538066594669608,2
63,139,120,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.562734930722789,2
64,140,120,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.437265069277211,2
65,145,240,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.553255403322631,1
66,146,240,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.446744596677369,1
67,147,240,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.705267665798256,1
68,148,240,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.294732334201744,1
69,153,240,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.551436429210683,2
70,154,240,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.448563570789317,2
71,155,240,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.683867838878925,2
72,156,240,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.316132161121074,2
73,161,360,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.606604135717114,1
74,162,360,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.393395864282885,1
75,163,360,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.736610819713167,1
76,164,360,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.263389180286833,1
77,169,360,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.646575830400348,2
78,170,360,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.353424169599652,2
79,171,360,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.758868998398977,2
80,172,360,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.241131001601023,2
