"","cells","carrier","time","rep","combination","rel_area"
"84","TSCctrl","MK","2","1","non_ac",0.599598143576973
"85","TSCctrl","MK","2","1","ac12_ac12",0.00438161739830652
"86","TSCctrl","MK","2","1","ac13_ac13",0.000445027228858759
"87","TSCctrl","MK","2","1","ac13_ac*",0.00119206138023758
"88","TSCctrl","MK","2","1","ac*_ac13",0.0933399174100816
"89","TSCctrl","MK","2","1","ac12_ac13",0.0014212100882852
"90","TSCctrl","MK","2","1","ac13_ac12",0.00108675757867457
"91","TSCctrl","DMSO","2","2","ac12_ac*",0.00313908577709599
"92","TSCctrl","DMSO","2","2","ac*_ac12",0.198188602119522
"93","TSCctrl","DMSO","2","2","non_ac",0.660874545056303
"94","TSCctrl","DMSO","2","2","ac12_ac12",0.00157202616749616
"95","TSCctrl","DMSO","2","2","ac13_ac13",0.000755866144619785
"96","TSCctrl","DMSO","2","2","ac13_ac*",0.00171468239350257
"97","TSCctrl","DMSO","2","2","ac*_ac13",0.131832837506355
"98","TSCctrl","DMSO","2","2","ac12_ac13",0.00106541870692893
"99","TSCctrl","DMSO","2","2","ac13_ac12",0.000856936138243531
"100","TSCctrl","MK","2","2","ac12_ac*",0.00389417328872077
"101","TSCctrl","MK","2","2","ac*_ac12",0.252472179156479
"102","TSCctrl","MK","2","2","non_ac",0.65557838954455
"103","TSCctrl","MK","2","2","ac12_ac12",0.00232134960461627
"104","TSCctrl","MK","2","2","ac13_ac13",0
"105","TSCctrl","MK","2","2","ac13_ac*",0.00106178583408809
"106","TSCctrl","MK","2","2","ac*_ac13",0.0830836496102504
"107","TSCctrl","MK","2","2","ac12_ac13",0.000884473623469839
"108","TSCctrl","MK","2","2","ac13_ac12",0.000703999340428582
"109","TSCctrl","DMSO","4","1","ac12_ac*",0.00262584247949694
"110","TSCctrl","DMSO","4","1","ac*_ac12",0.1598657460992
"111","TSCctrl","DMSO","4","1","non_ac",0.628737421738051
"112","TSCctrl","DMSO","4","1","ac12_ac12",0.00104687894469928
"113","TSCctrl","DMSO","4","1","ac13_ac13",0.000942047969029952
"114","TSCctrl","DMSO","4","1","ac13_ac*",0.00287641669445911
"115","TSCctrl","DMSO","4","1","ac*_ac13",0.201699508423072
"116","TSCctrl","DMSO","4","1","ac12_ac13",0.00116936100158337
"117","TSCctrl","DMSO","4","1","ac13_ac12",0.00103677664956653
"118","TSCctrl","MK","4","1","ac12_ac*",0.00344164363493597
"119","TSCctrl","MK","4","1","ac*_ac12",0.208486239228251
"120","TSCctrl","MK","4","1","non_ac",0.641798239656316
"121","TSCctrl","MK","4","1","ac12_ac12",0.00142475888313502
"122","TSCctrl","MK","4","1","ac13_ac13",0.000767126222908597
"123","TSCctrl","MK","4","1","ac13_ac*",0.00191975207991263
"124","TSCctrl","MK","4","1","ac*_ac13",0.140135803900004
"125","TSCctrl","MK","4","1","ac12_ac13",0.00107516133707945
"126","TSCctrl","MK","4","1","ac13_ac12",0.000951275063816222
"127","TSCctrl","DMSO","4","2","ac12_ac*",0.00275666539171754
"128","TSCctrl","DMSO","4","2","ac*_ac12",0.153806549952857
"129","TSCctrl","DMSO","4","2","non_ac",0.631008042665983
"130","TSCctrl","DMSO","4","2","ac12_ac12",0.000762242419670086
"131","TSCctrl","DMSO","4","2","ac13_ac13",0.000850471587421044
"132","TSCctrl","DMSO","4","2","ac13_ac*",0.00292020209536115
"133","TSCctrl","DMSO","4","2","ac*_ac13",0.205579515145607
"134","TSCctrl","DMSO","4","2","ac12_ac13",0.00124506302877297
"135","TSCctrl","DMSO","4","2","ac13_ac12",0.00107124771625361
"136","TSCctrl","MK","4","2","ac12_ac*",0.0036219947459853
"137","TSCctrl","MK","4","2","ac*_ac12",0.205474190189296
"138","TSCctrl","MK","4","2","non_ac",0.626628530206483
"139","TSCctrl","MK","4","2","ac12_ac12",0.00174710919824249
"140","TSCctrl","MK","4","2","ac13_ac13",0.000892199104945949
"141","TSCctrl","MK","4","2","ac13_ac*",0.00235282517687173
"142","TSCctrl","MK","4","2","ac*_ac13",0.156823576956403
"143","TSCctrl","MK","4","2","ac12_ac13",0.00129623488479814
"144","TSCctrl","MK","4","2","ac13_ac12",0.00116333953647472
"145","TSCctrl","DMSO","6","1","ac12_ac*",0.00213388308708205
"146","TSCctrl","DMSO","6","1","ac*_ac12",0.124321132819752
"147","TSCctrl","DMSO","6","1","non_ac",0.661640189714186
"148","TSCctrl","DMSO","6","1","ac12_ac12",0.000482224209810347
"149","TSCctrl","DMSO","6","1","ac13_ac13",0.00115270494381381
"150","TSCctrl","DMSO","6","1","ac13_ac*",0.00322104785702899
"151","TSCctrl","DMSO","6","1","ac*_ac13",0.205110540962728
"152","TSCctrl","DMSO","6","1","ac12_ac13",0.00103055907765435
"153","TSCctrl","DMSO","6","1","ac13_ac12",0.000907717326307597
"154","TSCctrl","MK","6","1","ac12_ac*",0.00298641921208349
"155","TSCctrl","MK","6","1","ac*_ac12",0.178699271427463
"156","TSCctrl","MK","6","1","non_ac",0.644522620679828
"157","TSCctrl","MK","6","1","ac12_ac12",0.00107676756355092
"158","TSCctrl","MK","6","1","ac13_ac13",0.000155074851842919
"159","TSCctrl","MK","6","1","ac13_ac*",0.00248019372149292
"160","TSCctrl","MK","6","1","ac*_ac13",0.167713819582813
"161","TSCctrl","MK","6","1","ac12_ac13",0.00121825056225553
"162","TSCctrl","MK","6","1","ac13_ac12",0.00114758240934169
"163","TSCctrl","DMSO","6","2","ac12_ac*",0.00198735281969678
"164","TSCctrl","DMSO","6","2","ac*_ac12",0.116878411539429
"165","TSCctrl","DMSO","6","2","non_ac",0.670218929995995
"166","TSCctrl","DMSO","6","2","ac12_ac12",0.000476778619517655
"167","TSCctrl","DMSO","6","2","ac13_ac13",0.000965639920011612
"168","TSCctrl","DMSO","6","2","ac13_ac*",0.00316639462425445
"169","TSCctrl","DMSO","6","2","ac*_ac13",0.204515068095023
"170","TSCctrl","DMSO","6","2","ac12_ac13",0.000931566902756666
"171","TSCctrl","DMSO","6","2","ac13_ac12",0.000859857480951512
"172","TSCctrl","MK","6","2","ac12_ac*",0.00293243716407411
"173","TSCctrl","MK","6","2","ac*_ac12",0.165149023054317
"174","TSCctrl","MK","6","2","non_ac",0.653481852358225
"175","TSCctrl","MK","6","2","ac12_ac12",0.00103855853402389
"176","TSCctrl","MK","6","2","ac13_ac13",0.00067660449624238
"177","TSCctrl","MK","6","2","ac13_ac*",0.00278135239263728
"178","TSCctrl","MK","6","2","ac*_ac13",0.17173080546689
"179","TSCctrl","MK","6","2","ac12_ac13",0.00113374157894403
"180","TSCctrl","MK","6","2","ac13_ac12",0.00107562494934632
"181","TSCctrl","DMSO","0","3","ac12_ac*",0.010040341310158
"182","TSCctrl","DMSO","0","3","ac*_ac12",0.498917298598878
"183","TSCctrl","DMSO","0","3","non_ac",0.484036859023291
"184","TSCctrl","DMSO","0","3","ac12_ac12",0.00615861949964087
"185","TSCctrl","DMSO","0","3","ac13_ac13",0.000846881557853002
"186","TSCctrl","DMSO","0","4","ac12_ac*",0.00872139074255777
"187","TSCctrl","DMSO","0","4","ac*_ac12",0.43945985209469
"188","TSCctrl","DMSO","0","4","non_ac",0.536256665151875
"189","TSCctrl","DMSO","0","4","ac12_ac12",0.0154102220490655
"190","TSCctrl","DMSO","0","4","ac13_ac13",0.000151869966294131
"191","TSCctrl","MK","0","3","ac12_ac*",0.0088758355966624
"192","TSCctrl","MK","0","3","ac*_ac12",0.477783538921118
"193","TSCctrl","MK","0","3","non_ac",0.504439517634578
"194","TSCctrl","MK","0","3","ac12_ac12",0.00841732004020761
"195","TSCctrl","MK","0","3","ac13_ac13",0
"196","TSCctrl","MK","0","4","ac12_ac*",0.010036884596769
"197","TSCctrl","MK","0","4","ac*_ac12",0.513812149889755
"198","TSCctrl","MK","0","4","non_ac",0.472646934816438
"199","TSCctrl","MK","0","4","ac12_ac12",0
"200","TSCctrl","MK","0","4","ac13_ac13",0
"201","TSCctrl","DMSO","2","3","ac12_ac*",0.00574459997008416
"202","TSCctrl","DMSO","2","3","ac*_ac12",0.2702104799598
"203","TSCctrl","DMSO","2","3","non_ac",0.560177762823125
"204","TSCctrl","DMSO","2","3","ac12_ac12",0.00391202337099459
"205","TSCctrl","DMSO","2","3","ac13_ac13",0.000804831513160611
"206","TSCctrl","DMSO","2","3","ac12_ac13",0.00194220102030426
"207","TSCctrl","DMSO","2","3","ac13_ac12",0.00231095941600689
"208","TSCctrl","DMSO","2","4","ac12_ac*",0.00728041243591966
"209","TSCctrl","DMSO","2","4","ac*_ac12",0.292872308531455
